0	Pizzerie	016 182 183 158 245
1	Locale Economico	050 051 052 056 059 136 159 164 165 166 170 203 046 064 065 066 073 074 081 136 158 159 161 162 163 164 165 166 170 181 203 204 205 206 207 224 231 242 245
2	Ristorante Vegetariano	243 158 176 177
3	Braceria	019 104 106 107 115 151 152 154 158 225
4	Bar	017 027 028 029 043 044 087 101 102 113 138 153 156 158 160 173 255
5	Vita Notturna	011 021 041 042 057 060 061 062 063 071 085 097 100 102 108 114 132 149 158 175 184 185 186 189 194 213 215 250
6	Luoghi Romantici	099 155 158 171 172 176 177 196 198 200 247
7	Disponibilita di servizi per disabili	141 253 058 059 158 174
8	Ristoranti di pesce	158 212 226 245
9	Locali prestigiosi	010 024 025 036 037 038 040 053 054 055 068 075 076 077 078 079 080 083 084 086 101 102 111 112 137 146 148 150 158 167 168 169 176 177 178 190 191 192 193 205 206 207 208 245
10	Locali etnici	000 001 002 003 004 005 006 007 008 009 012 013 014 015 018 020 022 023 030 031 032 033 034 039 045 047 048 049 067 069 070 072 082 088 089 090 091 092 093 094 095 096 098 103 105 109 110 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 133 134 135 139 140 142 143 144 145 147 158 179 180 187 188 195 199 201 202 209 210 211 218 219 220 221 222 223 228 229 230 235 236 237 238 239 240 241 244 245 246 256
11	Birrerie	035 106 158 194 227 235 236 237 238 239 245 254
